artist_slug,locale,name
afrodite,ko,아프로다이트
airhouse-ceremony,ko,에어하우스 세레모니
airhouse-yoga-flow,ko,에어하우스 요가 플로우
armen-miran,ko,아르멘미란
bambounou,ko,밤부누
body-art-meditation,ko,체감 예술 명상
chang-kiha,ko,장기하
chang-seahee,ko,장세희
chawool,ko,차울
damons-year,ko,데이먼스 이어
dangjok-live-counseling-center,ko,댕쪽이 라이브 상담소
daox,ko,다옥스
data-memory-access-live,ko,데이타 메모리 엑세스 (라이브)
disco-aerobic,ko,디스코에어로빅
dj-masda,ko,디제이 마스다
dj-soulscape,ko,디제이 소울스케이프
duumok,ko,두목
field-recording,ko,들리는 매개체
francesco-del-garda,ko,프란체스코 델 가르다
francesco-farfa,ko,프란체스코 팔파
gabbs,ko,갑스
goo-gijeong,ko,구기정
handpan-morning-flow,ko,핸드팬 모닝 플로우
healing-hatha-yoga,ko,힐링 하타 요가
heen-dance-kico,ko,흰댄스 : 키코
indigo-dyeing-experience,ko,쪽염색 반다나 체험
indigo-moonwave-soundhealing,ko,인디고 문웨이브 사운드 힐링
indigo-sunrise-awakening-the-earth-resonance-432hz,ko,인디고 선라이즈 대지의 공명을 깨우다 (432Hz)
jisokuryclub,ko,지소쿠리클럽
jongho-live,ko,종호(라이브)
jung-seung,ko,정승
kibum,ko,키범
kim-oki-exorcist-king,ko,김오키 퇴마왕
kim-sawol,ko,김사월
knnduku,ko,콘두쿠
korea-food-hand-ritual,ko,손으로 만드는 한국 음식
meaningful-stone,ko,김뜻돌
mindful-aromatherapy-and-roll-on-making,ko,마음챙김 아로마테라피&아로마롤온 만들기
mogwaa-live,ko,모과 (라이브)
mother-of-pearl-keyring-making,ko,자개 키링 만들기
nabiyon-live-improvised-voice-and-sound-healing,ko,나비연 즉흥소리 & 사운드 힐링 콘서트
nicolas-lutz,ko,니콜라스 럿츠
nomtii,ko,놈티
novasia,ko,노바시아
oysters,ko,오이스터스
rakunelama,ko,라쿠네라마
robert-istoc,ko,로베르투 이스톡
roza-terenzi,ko,로자 테렌지
samui,ko,사뮈
samulnori-on-pan-on,ko,사물놀이 온ON : 판 온
say-sue-me,ko,세이수미
shonky,ko,숀키
studio-noke,ko,스튜디오 노케
sunday-lee,ko,선데이 리
sundown-gong-ceremony,ko,일몰 공 세레모니
sebastien-leger,ko,세바스티앙 레제
venerable-boman-s-buddhist-psychology,ko,보만스님의 불교심리학
viia-yeon,ko,비아 연
vinyasa-movement,ko,빈야사 무브먼트
voice-of-the-trees-a-forest-temple,ko,나무의 목소리: 숲의 사원
wellness-taekwondo,ko,웰니스 태권도
xanexx,ko,자넥스
zaho-where-rhythm-pauses,ko,자호: 리듬이 머무는 순간
zorba,ko,조르바
